sku,category_ids,product_category_type
QCNBBG00041,"3,148",QCNBK-B
QCNBBG00042,"3,148",QCNBK-B
QCNBBG00043,"3,148",QCNBK-B
QCNBBG00044,"3,148",QCNBK-B
QCNBBG00045,"3,148",QCNBK-B
QCNBBG00046,"3,148",QCNBK-B
QCNBBG00047,"3,148",QCNBK-B
QCNBBG00048,"3,148",QCNBK-B
QCNBBG00049,"3,148",QCNBK-B
QCNBBG00050,"3,148",QCNBK-B
QCNBB000001,"3,148",QCNBK-B
QCNBB000002,"3,148",QCNBK-B
QCNBB000003,"3,148",QCNBK-B
QCNBB000004,"3,148",QCNBK-B
QCNBB000005,"3,148",QCNBK-B
QCNBB000006,"3,148",QCNBK-B
QCNBB000007,"3,148",QCNBK-B
QCNBB000008,"3,148",QCNBK-B
QCNBB000009,"3,148",QCNBK-B
QCNBB000010,"3,148",QCNBK-B
QCNBB000011,"3,148",QCNBK-B
QCNBB000012,"3,148",QCNBK-B
QCNBB000013,"3,148",QCNBK-B
QCNBB000014,"3,148",QCNBK-B
QCNBB000015,"3,148",QCNBK-B
QCNBB000016,"3,148",QCNBK-B
QCNBB000017,"3,148",QCNBK-B
QCNBB000018,"3,148",QCNBK-B
QCNBB000019,"3,148",QCNBK-B
QCNBB000020,"3,148",QCNBK-B
QCNBB000021,"3,148",QCNBK-B
QCNBB000022,"3,148",QCNBK-B
QCNBB000023,"3,148",QCNBK-B
QCNBB000024,"3,148",QCNBK-B
QCNBB000025,"3,148",QCNBK-B
QCNBB000026,"3,148",QCNBK-B
QCNBB000027,"3,148",QCNBK-B
QCNBB000028,"3,148",QCNBK-B
QCNBB000029,"3,148",QCNBK-B
QCNBB000030,"3,148",QCNBK-B
QCNBB000031,"3,148",QCNBK-B
QCNBB000032,"3,148",QCNBK-B
QCNBB000033,"3,148",QCNBK-B
QCNBB000034,"3,148",QCNBK-B
QCNBB000035,"3,148",QCNBK-B
QCNBB000036,"3,148",QCNBK-B
QCNBB000037,"3,148",QCNBK-B
QCNBB000038,"3,148",QCNBK-B
QCNBB000039,"3,148",QCNBK-B
QCNBB000040,"3,148",QCNBK-B
QCNBB000041,"3,148",QCNBK-B
QCNBB000042,"3,148",QCNBK-B
QCNBB000043,"3,148",QCNBK-B
QCNBB000044,"3,148",QCNBK-B
QCNBB000045,"3,148",QCNBK-B
QCNBB000046,"3,148",QCNBK-B
QCNBB000047,"3,148",QCNBK-B
QCNBB000048,"3,148",QCNBK-B
QCNBB000050,"3,148",QCNBK-B
QCNBB000051,"3,148",QCNBK-B
QCNBB000052,"3,148",QCNBK-B
QCNBB000053,"3,148",QCNBK-B
QCNBB000054,"3,148",QCNBK-B
QCNBB000055,"3,148",QCNBK-B
QCNBB000056,"3,148",QCNBK-B
QCNBB000057,"3,148",QCNBK-B
QCNBB000058,"3,148",QCNBK-B
QCNBB000059,"3,148",QCNBK-B
QCNBB000060,"3,148",QCNBK-B
QCNBB000061,"3,148",QCNBK-B
QCNBB000062,"3,148",QCNBK-B
QCNBB000063,"3,148",QCNBK-B
QCNBB000064,"3,148",QCNBK-B
QCNBB000065,"3,148",QCNBK-B
QCNBB000066,"3,148",QCNBK-B
QCNBB000067,"3,148",QCNBK-B
QCNBB000068,"3,148",QCNBK-B
QCNBB000069,"3,148",QCNBK-B
QCNBB000070,"3,148",QCNBK-B
QCNBB000071,"3,148",QCNBK-B
QCNBB000072,"3,148",QCNBK-B
QCNBB000073,"3,148",QCNBK-B
QCNBB000074,"3,148",QCNBK-B
QCNBB000075,"3,148",QCNBK-B
QCNBB000076,"3,148",QCNBK-B
QCNBB000077,"3,148",QCNBK-B
QCNBB000078,"3,148",QCNBK-B
QCNBB000079,"3,148",QCNBK-B
QCNBB000080,"3,148",QCNBK-B
QCNBB000081,"3,148",QCNBK-B
QCNBB000082,"3,148",QCNBK-B
QCNBB000083,"3,148",QCNBK-B
QCNBB000084,"3,148",QCNBK-B
QCNBB000085,"3,148",QCNBK-B
QCNBB000086,"3,148",QCNBK-B
QCNBB000087,"3,148",QCNBK-B
QCNBB000088,"3,148",QCNBK-B
QCNBB000089,"3,148",QCNBK-B
QCNBB000090,"3,148",QCNBK-B
QCNBB000091,"3,148",QCNBK-B
QCNBB000092,"3,148",QCNBK-B
QCNBB000093,"3,148",QCNBK-B
QCNBB000094,"3,148",QCNBK-B
QCNBB000095,"3,148",QCNBK-B
QCNBB000096,"3,148",QCNBK-B
QCNBB000097,"3,148",QCNBK-B
QCNBB000098,"3,148",QCNBK-B
QCNBB000099,"3,148",QCNBK-B
QCNBB000100,"3,148",QCNBK-B
QCNBB000101,"3,148",QCNBK-B
QCNBB000102,"3,148",QCNBK-B
QCNBB000103,"3,148",QCNBK-B
QCNBB000104,"3,148",QCNBK-B
QCNBB000105,"3,148",QCNBK-B
QCNBB000106,"3,148",QCNBK-B
QCNBB000107,"3,148",QCNBK-B
QCNBB000108,"3,148",QCNBK-B
QCNBB000109,"3,148",QCNBK-B
QCNBB000110,"3,148",QCNBK-B
QCNBB000111,"3,148",QCNBK-B
QCNBB000112,"3,148",QCNBK-B
QCNBB000114,"3,148",QCNBK-B
QCNBB000115,"3,148",QCNBK-B
QCNBB000116,"3,148",QCNBK-B
QCNBB000117,"3,148",QCNBK-B
QCNBB000118,"3,148",QCNBK-B
QCNBB000119,"3,148",QCNBK-B
QCNBB000120,"3,148",QCNBK-B
QCNBB000121,"3,148",QCNBK-B
QCNBB000122,"3,148",QCNBK-B
QCNBB000123,"3,148",QCNBK-B
QCNBB000124,"3,148",QCNBK-B
QCNBB000125,"3,148",QCNBK-B
QCNBB000126,"3,148",QCNBK-B
QCNBB000127,"3,148",QCNBK-B
QCNBB000128,"3,148",QCNBK-B
QCNBB000129,"3,148",QCNBK-B
QCNBB000130,"3,148",QCNBK-B
QCNBB000131,"3,148",QCNBK-B
QCNBB000132,"3,148",QCNBK-B
QCNBB000133,"3,148",QCNBK-B
QCNBB000134,"3,148",QCNBK-B
QCNBB000135,"3,148",QCNBK-B
QCNBB000136,"3,148",QCNBK-B
QCNBB000137,"3,148",QCNBK-B
QCNBB000138,"3,148",QCNBK-B
QCNBB000139,"3,148",QCNBK-B
QCNBB000140,"3,148",QCNBK-B
QCNBB000141,"3,148",QCNBK-B
