sku,disable_cod
NEWNBK00050,No
REFDE00007,No
REFDE00017,No
REFDE00036,No
REFDE00041,No
REFDE00053,No
REFDE00056,No
REFDE00090,No
REFDE00101,No
REFDE00114,No
REFDE00115,No
REFDE00119,No
REFDE00121,No
REFDE00126,No
REFDE00128,No
REFDE00137,No
REFDE00139,No
REFDE00146,No
REFDE00152,No
REFDE00157,No
REFDE00170,No
REFDE00192,No
REFDE00197,No
REFDE00198,No
REFDE00203,No
REFDE00207,No
REFDE00224,No
OPNBNTF0025,No
OPNBNTF0027,No
OPNBNTF0130,No
OPNBNTF0059,No
OPNBNTF0101,No
OPNBNTF0028,No
OPNBNTF0126,No
OPNBNTF0131,No
OPNBNTF0143,No
OPNBNTF0031,No
OPNBNTF0036,No
OPNBNTF0108,No
OPNBNTF0136,No
OPNBNTF0147,No
OPNBNTF0148,No
OPNBNTF0162,No
OPNBNTF0163,No
NEWNBK00026,No
NEWNBK00032,No
NEWNBK00031,No
NEWNBK00052,No
REFDE00254,No
REFDE00250,No
REFDE00262,No
REFDE00263,No
REFDE00274,No
NEWNBK00108,No
NEWNBK00110,No
QCNBB000809,No
REFDE00289,No
REFDE00020,No
REFDE00302,No
REFDE00301,No
REFDE00310,No
OPNBNTF0179,No
QCNBB001259,No
REFDE00337,No
REFDE00340,No
REFDE00342,No
REFDE00257,No
REFDE00335,No
OPNBNTF0201,No
OPNBNTF0224,No
REFDOP00780PDCG1,No
NEWNBK00177,No
NEWNBK00182,No
QCDTAG00004,No
QCDTAG00005,No
OPNBNTF0302,No
OPNBNTF0313,No
OPNBNTF0321,No
OPNBNTF0230,No
OPNBNTF0234,No
QCNBBG00029,No
QCNBBG00030,No
QCNBA000327,No
QCNBBG00041,No
QCNBBG00068,No
QCNBBG00078,No
