sku,name,product_name
REFDE00369,DELL REFURBISHED INSPIRON 15 5577 (7TH GEN CI5-7300HQ / 8GB DDR4 / 1TB + 128GB SSD / 4GB NVD 1050 / Win10Hm / 15.6-inch FHD ) Non-Touch,DELL REFURBISHED INSPIRON 15 5577 (7TH GEN CI5-7300HQ / 8GB DDR4 / 1TB + 128GB SSD / 4GB NVD 1050 / Win10Hm / 15.6-inch FHD ) Non-Touch
REFDE00370,DELL REFURBISHED INSPIRON 15 7570 (8TH GEN CI7-8550U / 8GB DDR4 / 1TB + 256GB SSD / 4GB NVD 940MX / Win10Hm / 15.6-inch FHD ) Non-Touch,DELL REFURBISHED INSPIRON 15 7570 (8TH GEN CI7-8550U / 8GB DDR4 / 1TB + 256GB SSD / 4GB NVD 940MX / Win10Hm / 15.6-inch FHD ) Non-Touch
REFDE00371,DELL REFURBISHED INSPIRON 15 5567 (7TH GEN CI7-7500U / 16GB DDR4 / 2TB / 4GB AMD R7 M445 / Win10Hm / 15.6-inch FHD ) Non-Touch,DELL REFURBISHED INSPIRON 15 5567 (7TH GEN CI7-7500U / 16GB DDR4 / 2TB / 4GB AMD R7 M445 / Win10Hm / 15.6-inch FHD ) Non-Touch
REFDE00372,DELL REFURBISHED INSPIRON 15 5570 (8TH GEN CI7-8550U / 8GB DDR4 / 2TB / 4GB AMD 530 / Win10Hm /  15.6-inch FHD ) Non-Touch,DELL REFURBISHED INSPIRON 15 5570 (8TH GEN CI7-8550U / 8GB DDR4 / 2TB / 4GB AMD 530 / Win10Hm /  15.6-inch FHD ) Non-Touch
REFDE00373,DELL REFURBISHED INSPIRON 13 5370 (8TH GEN CI5-8250U / 8GB DDR4 / 256GB SSD / Intel UHD 620 Grph / Win10Hm / 13.3-inch FHD ) Non-Touch,DELL REFURBISHED INSPIRON 13 5370 (8TH GEN CI5-8250U / 8GB DDR4 / 256GB SSD / Intel UHD 620 Grph / Win10Hm / 13.3-inch FHD ) Non-Touch
REFDE00374,DELL REFURBISHED INSPIRON 13 5370 (8TH GEN CI7-8550U / 8GB DDR4 / 256GB SSD / 2GB AMD 530 / Win10Hm / 13.3-inch FHD ) Non-Touch,DELL REFURBISHED INSPIRON 13 5370 (8TH GEN CI7-8550U / 8GB DDR4 / 256GB SSD / 2GB AMD 530 / Win10Hm / 13.3-inch FHD ) Non-Touch
REFDE00375,DELL REFURBISHED INSPIRON 13 5379 (8TH GEN CI5-8250U / 8GB DDR4 / 1TB / Intel UHD 620 Grph / Win10Hm / 13.3-inch FHD ) Touch,DELL REFURBISHED INSPIRON 13 5379 (8TH GEN CI5-8250U / 8GB DDR4 / 1TB / Intel UHD 620 Grph / Win10Hm / 13.3-inch FHD ) Touch
REFDE00376,DELL REFURBISHED INSPIRON 15 3567 (6TH GEN CI3-6006U / 8GB DDR4 / 1TB / Intel HD 520 Grph / Win10Hm / 15.6-inch FHD ) Non-Touch,DELL REFURBISHED INSPIRON 15 3567 (6TH GEN CI3-6006U / 8GB DDR4 / 1TB / Intel HD 520 Grph / Win10Hm / 15.6-inch FHD ) Non-Touch
REFDE00377,DELL REFURBISHED INSPIRON 15 3567 (6TH GEN CI3-6006U / 4GB DDR4 / 1TB / 2GB AMD R5 M430 / NO OS /  15.6-inch HD ) Non-Touch,DELL REFURBISHED INSPIRON 15 3567 (6TH GEN CI3-6006U / 4GB DDR4 / 1TB / 2GB AMD R5 M430 / NO OS /  15.6-inch HD ) Non-Touch
REFDE00378,DELL REFURBISHED INSPIRON 15 3565 (AMD E2-9000 / 4GB DDR4 / 1TB / Int Grph / Win10Hm / 15.6-inch HD ) Non-Touch,DELL REFURBISHED INSPIRON 15 3565 (AMD E2-9000 / 4GB DDR4 / 1TB / Int Grph / Win10Hm / 15.6-inch HD ) Non-Touch
REFDE00379,DELL REFURBISHED INSPIRON 15 3565 (AMD A6-9200 / 4GB DDR4 / 1TB / Int Grph / NO OS / 15.6-inch HD ) Non-Touch,DELL REFURBISHED INSPIRON 15 3565 (AMD A6-9200 / 4GB DDR4 / 1TB / Int Grph / NO OS / 15.6-inch HD ) Non-Touch
REFDE00380,DELL REFURBISHED XPS 15 9560 (7TH GEN CI7-7700HQ / 8GB DDR4 / 256GB SSD / 4GB NVD 1050 / Win10Hm / 15.6-inch FHD ) Non-Touch,DELL REFURBISHED XPS 15 9560 (7TH GEN CI7-7700HQ / 8GB DDR4 / 256GB SSD / 4GB NVD 1050 / Win10Hm / 15.6-inch FHD ) Non-Touch
REFDE00381,DELL REFURBISHED XPS 13 9360 (8TH GEN CI5-8250U / 8GB DDR3 / 256GB NVMe M.2 SSD / Intel HD Grph / Win10Hm / 13.3-inch FHD) Non-Touch,DELL REFURBISHED XPS 13 9360 (8TH GEN CI5-8250U / 8GB DDR3 / 256GB NVMe M.2 SSD / Intel HD Grph / Win10Hm / 13.3-inch FHD) Non-Touch
REFDE00382,DELL REFURBISHED XPS 13 9360 (8TH GEN CI7-8550U / 16GB DDR3 / 512GB SSD / Intel UHD / Win10Hm / 13.3-inch QHD+ ) Touch,DELL REFURBISHED XPS 13 9360 (8TH GEN CI7-8550U / 16GB DDR3 / 512GB SSD / Intel UHD / Win10Hm / 13.3-inch QHD+ ) Touch
REFDE00383,DELL REFURBISHED XPS 13 9360 (8TH GEN CI7-8550U / 16GB DDR3 / 512GB SSD / Intel UHD / Win10Hm / 13.3-inch QHD+ ) Touch,DELL REFURBISHED XPS 13 9360 (8TH GEN CI7-8550U / 16GB DDR3 / 512GB SSD / Intel UHD / Win10Hm / 13.3-inch QHD+ ) Touch
