sku,status,is_in_stock
QCNBAG00708,Enabled,1
QCNBBG00001,Enabled,1
QCNBBG00002,Enabled,1
QCNBBG00003,Enabled,1
QCNBBG00004,Enabled,1
QCNBBG00014,Enabled,1
QCNBBG00015,Enabled,1
QCNBBG00022,Enabled,1
QCNBBG00023,Enabled,1
QCNBBG00024,Enabled,1
QCNBBG00029,Enabled,1
QCNBBG00031,Enabled,1
QCNBBG00037,Enabled,1
QCNBBG00041,Enabled,1
QCNBBG00045,Enabled,1
QCNBBG00047,Enabled,1
QCNBBG00048,Enabled,1
QCNBBG00053,Enabled,1
QCNBBG00058,Enabled,1
QCNBBG00059,Enabled,1
QCNBBG00064,Enabled,1
QCNBBG00065,Enabled,1
QCNBBG00069,Enabled,1
QCNBBG00074,Enabled,1
QCNBBG00081,Enabled,1
QCNBBG00085,Enabled,1
QCNBBG00087,Enabled,1
QCNBBG00090,Enabled,1
QCNBBG00093,Enabled,1
QCNBBG00094,Enabled,1
QCNBBG00097,Enabled,1
QCNBBG00098,Enabled,1
QCNBBG00099,Enabled,1
QCNBBG00100,Enabled,1
QCNBBG00101,Enabled,1
QCNBBG00103,Enabled,1
QCNBBG00104,Enabled,1
QCNBBG00105,Enabled,1
QCNBBG00106,Enabled,1
QCNBBG00107,Enabled,1
QCNBBG00108,Enabled,1
QCNBBG00109,Enabled,1
QCNBBG00110,Enabled,1
QCNBBG00111,Enabled,1
QCNBBG00112,Enabled,1
QCNBBG00113,Enabled,1
QCNBBG00114,Enabled,1
QCNBBG00115,Enabled,1
QCNBBG00116,Enabled,1
QCNBBG00117,Enabled,1
QCNBBG00118,Enabled,1
QCNBBG00119,Enabled,1
QCNBBG00120,Enabled,1
QCNBBG00121,Enabled,1
QCNBBG00122,Enabled,1
QCNBBG00123,Enabled,1
QCNBBG00124,Enabled,1
QCNBBG00125,Enabled,1
QCNBBG00126,Enabled,1
QCNBBG00127,Enabled,1
QCNBBG00128,Enabled,1
QCNBBG00129,Enabled,1
QCNBBG00130,Enabled,1
