sku,is_in_stock
QCNBAG00708,1
QCNBBG00001,1
QCNBBG00002,1
QCNBBG00003,1
QCNBBG00004,1
QCNBBG00014,1
QCNBBG00015,1
QCNBBG00022,1
QCNBBG00023,1
QCNBBG00024,1
QCNBBG00029,1
QCNBBG00031,1
QCNBBG00037,1
QCNBBG00041,1
QCNBBG00045,1
QCNBBG00047,1
QCNBBG00048,1
QCNBBG00053,1
QCNBBG00058,1
QCNBBG00059,1
QCNBBG00064,1
QCNBBG00065,1
QCNBBG00069,1
QCNBBG00074,1
QCNBBG00081,1
QCNBBG00085,1
QCNBBG00087,1
QCNBBG00090,1
QCNBBG00093,1
QCNBBG00094,1
QCNBBG00097,1
QCNBBG00098,1
QCNBBG00099,1
QCNBBG00100,1
QCNBBG00101,1
QCNBBG00103,1
QCNBBG00104,1
QCNBBG00105,1
QCNBBG00106,1
QCNBBG00107,1
QCNBBG00108,1
QCNBBG00109,1
QCNBBG00110,1
QCNBBG00111,1
QCNBBG00112,1
QCNBBG00113,1
QCNBBG00114,1
QCNBBG00115,1
QCNBBG00116,1
QCNBBG00117,1
QCNBBG00118,1
QCNBBG00119,1
QCNBBG00120,1
QCNBBG00121,1
QCNBBG00122,1
QCNBBG00123,1
QCNBBG00124,1
QCNBBG00125,1
QCNBBG00126,1
QCNBBG00127,1
QCNBBG00128,1
QCNBBG00129,1
QCNBBG00130,1
