sku,qty,status,is_in_stock
QCNBBG00140,1,Enabled,1
QCNBBG00141,1,Enabled,1
QCNBBG00142,1,Enabled,1
QCNBBG00147,1,Enabled,1
QCNBBG00132,1,Enabled,1
QCNBBG00135,1,Enabled,1
QCNBBG00047,2,Enabled,1
QCNBBG00131,1,Enabled,1
QCNBBG00145,1,Enabled,1
QCNBBG00022,1,Enabled,1
QCNBBG00023,3,Enabled,1
QCNBBG00069,2,Enabled,1
QCNBBG00086,1,Enabled,1
QCNBBG00093,1,Enabled,1
QCNBBG00146,1,Enabled,1
QCNBBG00148,1,Enabled,1
QCNBBG00152,1,Enabled,1
QCNBBG00154,1,Enabled,1
QCNBBG00013,3,Enabled,1
QCNBBG00159,3,Enabled,1
QCNBBG00144,1,Enabled,1
QCNBBG00150,1,Enabled,1
QCNBBG00153,1,Enabled,1
QCNBBG00155,1,Enabled,1
QCNBBG00157,2,Enabled,1
QCNBBG00143,1,Enabled,1
QCNBBG00108,1,Enabled,1
QCNBBG00156,1,Enabled,1
QCNBBG00158,1,Enabled,1
QCNBBG00134,1,Enabled,1
QCNBBG00025,14,Enabled,1
QCNBBG00035,4,Enabled,1
QCNBBG00071,26,Enabled,1
QCNBBG00020,144,Enabled,1
QCNBBG00021,33,Enabled,1
QCNBBG00066,50,Enabled,1
QCNBBG00082,45,Enabled,1
