sku,qty,status,is_in_stock
QCNBBG00085,7,Enabled,1
QCNBBG00101,1,Enabled,1
QCNBBG00161,1,Enabled,1
QCNBBG00166,1,Enabled,1
QCNBB002312,1,Enabled,1
QCNBBG00117,1,Enabled,1
QCNBBG00163,9,Enabled,1
QCNBBG00022,2,Enabled,1
QCNBBG00160,2,Enabled,1
QCNBBG00162,1,Enabled,1
QCNBBG00004,21,Enabled,1
QCNBBG00100,1,Enabled,1
QCNBBG00153,1,Enabled,1
QCNBBG00155,1,Enabled,1
QCNBBG00165,1,Enabled,1
QCNBBG00031,1,Enabled,1
QCNBBG00059,2,Enabled,1
QCNBBG00018,24,Enabled,1
QCNBBG00164,1,Enabled,1
QCNBBG00020,145,Enabled,1
QCNBBG00066,51,Enabled,1
QCNBBG00082,42,Enabled,1
