sku,qty,status,is_in_stock
QCNBBG00085,13,Enabled,1
QCNBBG00094,1,Enabled,1
QCNBBG00022,1,Enabled,1
QCNBBG00074,1,Enabled,1
QCNBBG00086,4,Enabled,1
QCNBBG00100,1,Enabled,1
QCNBBG00087,2,Enabled,1
QCNBA000294,5,Enabled,1
QCNBAG00494,1,Enabled,1
QCNBA000356,1,Enabled,1
QCNBA000288,1,Enabled,1
QCNBAG00514,1,Enabled,1
QCNBAG00505,1,Enabled,1
QCNBAG00502,1,Enabled,1
QCNBAG00506,1,Enabled,1
QCNBAG00520,1,Enabled,1
QCNBB000730,1,Enabled,1
QCNBB002269,1,Enabled,1
QCNBB000412,1,Enabled,1
QCNBB000708,1,Enabled,1
QCNBB000678,1,Enabled,1
QCNBB002167,1,Enabled,1
QCNBB000437,1,Enabled,1
QCNBB002300,1,Enabled,1
QCNBB001259,1,Enabled,1
QCNBB002288,1,Enabled,1
QCNBBG00003,7,Enabled,1
QCNBBG00167,1,Enabled,1
QCNBA000327,1,Enabled,1
QCNBAG00702,1,Enabled,1
