sku,weight
QCNBB000010,2.5
QCNBB000011,2.5
QCNBB000012,2.5
QCNBB000013,2.5
QCNBB000014,2.5
QCNBB000015,2.5
QCNBB000016,2.5
QCNBB000017,2.5
QCNBB000018,2.5
QCNBB000019,2.5
QCNBB000020,2.5
QCNBB000021,2.5
QCNBB000022,2.5
QCNBB000023,2.5
QCNBB000024,2.5
QCNBB000025,2.5
QCNBB000026,2.5
QCNBB000027,2.5
QCNBB000028,2.5
QCNBB000029,2.5
QCNBB000030,2.5
QCNBB000031,2.5
QCNBB000032,2.5
QCNBB000033,2.5
QCNBB000034,2.5
QCNBB000035,2.5
QCNBB000036,2.5
QCNBB000037,2.5
QCNBB000038,2.5
QCNBB000039,2.5
QCNBB000040,2.5
QCNBB000041,2.5
QCNBB000042,2.5
QCNBB000043,2.5
QCNBB000044,2.5
QCNBB000045,2.5
QCNBB000046,2.5
QCNBB000047,2.5
QCNBB000048,2.5
QCNBB000050,2.5
QCNBB000051,2.5
QCNBB000052,2.5
QCNBB000053,2.5
QCNBB000054,2.5
QCNBB000055,2.5
QCNBB000056,2.5
QCNBB000057,2.5
QCNBB000058,2.5
QCNBB000059,2.5
QCNBB000060,2.5
QCNBB000061,2.5
QCNBB000062,2.5
QCNBB000063,2.5
QCNBB000064,2.5
QCNBB000065,2.5
QCNBB000066,2.5
QCNBB000067,2.5
QCNBB000068,2.5
QCNBB000069,2.5
QCNBB000070,2.5
QCNBB000071,2.5
QCNBB000072,2.5
QCNBB000073,2.5
QCNBB000074,2.5
QCNBB000075,2.5
QCNBB000076,2.5
QCNBB000077,2.5
QCNBB000078,2.5
QCNBB000079,2.5
QCNBB000080,2.5
QCNBB000081,2.5
QCNBB000082,2.5
QCNBB000083,2.5
QCNBB000084,2.5
QCNBB000085,2.5
QCNBB000086,2.5
QCNBB000087,2.5
QCNBB000088,2.5
QCNBB000089,2.5
QCNBB000090,2.5
QCNBB000091,2.5
QCNBB000092,2.5
QCNBB000093,2.5
QCNBB000094,2.5
QCNBB000095,2.5
QCNBB000096,2.5
QCNBB000098,2.5
QCNBB000099,2.5
QCNBB000100,2.5
QCNBB000101,2.5
QCNBB000102,2.5
QCNBB000103,2.5
QCNBB000104,2.5
QCNBB000105,2.5
QCNBB000106,2.5
QCNBB000107,2.5
QCNBB000108,2.5
QCNBB000109,2.5
QCNBB000110,2.5
QCNBB000111,2.5
QCNBB000112,2.5
QCNBB000114,2.5
QCNBB000115,2.5
QCNBB000116,2.5
QCNBB000117,2.5
QCNBB000118,2.5
QCNBB000119,2.5
QCNBB000120,2.5
QCNBB000121,2.5
QCNBB000122,2.5
QCNBB000123,2.5
QCNBB000124,2.5
QCNBB000125,2.5
QCNBB000126,2.5
QCNBB000127,2.5
QCNBB000128,2.5
QCNBB000129,2.5
QCNBB000130,2.5
QCNBB000131,2.5
QCNBB000132,2.5
QCNBB000133,2.5
QCNBB000134,2.5
QCNBB000135,2.5
QCNBB000136,2.5
QCNBB000137,2.5
QCNBB000138,2.5
QCNBB000139,2.5
QCNBB000140,2.5
QCNBB000141,2.5
QCNBB000142,2.5
QCNBB000143,2.5
QCNBB000144,2.5
QCNBB000145,2.5
QCNBB000146,2.5
QCNBB000147,2.5
QCNBB000148,2.5
QCNBB000149,2.5
QCNBB000152,2.5
QCNBB000153,2.5
QCNBB000154,2.5
QCNBB000155,2.5
QCNBB000156,2.5
QCNBB000157,2.5
QCNBB000158,2.5
QCNBB000159,2.5
QCNBB000160,2.5
QCNBB000163,2.5
QCNBB000164,2.5
QCNBB000165,2.5
QCNBB000166,2.5
QCNBB000167,2.5
QCNBB000168,2.5
QCNBB000169,2.5
QCNBB000170,2.5
QCNBB000171,2.5
QCNBB000172,2.5
QCNBB000173,2.5
QCNBB000174,2.5
QCNBB000175,2.5
QCNBB000176,2.5
QCNBB000177,2.5
QCNBB000178,2.5
QCNBB000179,2.5
QCNBB000181,2.5
QCNBB000182,2.5
QCNBB000183,2.5
QCNBB000184,2.5
QCNBB000185,2.5
QCNBB000186,2.5
QCNBB000187,2.5
QCNBB000188,2.5
QCNBB000189,2.5
QCNBB000191,2.5
QCNBB000192,2.5
QCNBB000193,2.5
QCNBB000194,2.5
QCNBB000195,2.5
QCNBB000196,2.5
QCNBB000197,2.5
QCNBB000198,2.5
QCNBB000199,2.5
QCNBB000200,2.5
QCNBB000201,2.5
QCNBB000202,2.5
QCNBB000204,2.5
QCNBB000205,2.5
QCNBB000206,2.5
QCNBB000207,2.5
QCNBB000208,2.5
QCNBB000209,2.5
QCNBB000210,2.5
QCNBB000211,2.5
QCNBB000212,2.5
QCNBB000214,2.5
QCNBB000215,2.5
QCNBB000216,2.5
QCNBB000217,2.5
QCNBB000218,2.5
QCNBB000219,2.5
QCNBB000220,2.5
QCNBB000221,2.5
QCNBB000222,2.5
QCNBB000223,2.5
QCNBB000224,2.5
QCNBB000225,2.5
QCNBB000226,2.5
QCNBB000227,2.5
QCNBB000228,2.5
QCNBB000229,2.5
QCNBB000230,2.5
QCNBB000231,2.5
QCNBB000232,2.5
QCNBB000233,2.5
QCNBB000234,2.5
QCNBB000235,2.5
QCNBB000236,2.5
QCNBB000237,2.5
QCNBB000238,2.5
QCNBB000239,2.5
QCNBB000240,2.5
QCNBB000241,2.5
QCNBB000242,2.5
QCNBB000243,2.5
QCNBB000244,2.5
QCNBB000245,2.5
QCNBB000246,2.5
QCNBB000247,2.5
QCNBB000248,2.5
QCNBB000249,2.5
QCNBB000250,2.5
QCNBB000251,2.5
QCNBB000252,2.5
QCNBB000253,2.5
QCNBB000254,2.5
QCNBB000255,2.5
QCNBB000256,2.5
QCNBB000257,2.5
QCNBB000258,2.5
QCNBB000259,2.5
QCNBB000260,2.5
QCNBB000261,2.5
QCNBB000262,2.5
QCNBB000263,2.5
QCNBB000264,2.5
QCNBB000266,2.5
QCNBB000267,2.5
QCNBB000268,2.5
QCNBB000269,2.5
QCNBB000270,2.5
QCNBB000271,2.5
QCNBB000272,2.5
QCNBB000273,2.5
QCNBB000274,2.5
QCNBB000275,2.5
QCNBB000276,2.5
QCNBB000277,2.5
QCNBB000278,2.5
QCNBB000279,2.5
QCNBB000280,2.5
QCNBB000281,2.5
QCNBB000282,2.5
QCNBB000283,2.5
QCNBB000285,2.5
QCNBB000286,2.5
QCNBB000287,2.5
QCNBB000288,2.5
QCNBB000289,2.5
QCNBB000290,2.5
QCNBB000291,2.5
QCNBB000292,2.5
QCNBB000293,2.5
QCNBB000294,2.5
QCNBB000295,2.5
QCNBB000296,2.5
QCNBB000297,2.5
QCNBB000298,2.5
QCNBB000299,2.5
QCNBB000300,2.5
QCNBB000301,2.5
QCNBB000302,2.5
QCNBB000303,2.5
QCNBB000304,2.5
QCNBB000305,2.5
QCNBB000306,2.5
QCNBB000307,2.5
QCNBB000308,2.5
QCNBB000309,2.5
QCNBB000310,2.5
QCNBB000311,2.5
QCNBB000312,2.5
QCNBB000708,2.5
QCNBB000809,2.5
