sku,weight
QCNBB000115,2.5
QCNBB000205,2.5
QCNBB000305,2.5
QCNBB000412,2.5
QCNBB000611,2.5
QCNBB000708,2.5
QCNBB000809,2.5
QCNBB000827,2.5
QCNBB000829,2.5
QCNBB000830,2.5
QCNBB000838,2.5
QCNBB000940,2.5
QCNBB001259,2.5
QCNBB001261,2.5
QCNBB001268,2.5
QCNBB001336,2.5
QCNBB001733,2.5
QCNBB001740,2.5
QCNBB001791,2.5
QCNBB001905,2.5
QCNBB001964,2.5
QCNBB001990,2.5
QCNBB001992,2.5
QCNBB002079,2.5
QCNBB002092,2.5
QCNBB002115,2.5
QCNBB002117,2.5
QCNBB002161,2.5
QCNBB002163,2.5
QCNBB002164,2.5
QCNBB002166,2.5
QCNBB002056,2.5
QCNBB002059,2.5
QCNBB002133,2.5
QCNBB002186,2.5
QCNBB002187,2.5
QCNBB002188,2.5
QCNBB002246,2.5
QCNBB002262,2.5
QCNBB002265,2.5
QCNBB002270,2.5
QCNBB002271,2.5
QCNBB002229,2.5
QCNBB002306,2.5
QCNBB002293,2.5
QCNBB002290,2.5
QCNBB002294,2.5
QCNBB002295,2.5
QCNBB002287,2.5
QCNBB002313,2.5
QCNBB002208,2.5
QCNBB002223,2.5
QCNBB000439,2.5
