sku,status,qty,is_in_stock,disable_cod
REFDE00015,Enabled,2,1,No
REFDE00026,Enabled,1,1,No
REFDE00059,Enabled,7,1,No
REFDE00065,Enabled,2,1,No
REFDE00110,Enabled,8,1,No
REFDE00120,Enabled,2,1,No
REFDE00130,Enabled,1,1,No
REFDE00131,Enabled,1,1,No
REFDE00135,Enabled,1,1,No
REFDE00136,Enabled,1,1,No
REFDE00144,Enabled,3,1,No
REFDE00167,Enabled,1,1,No
REFDE00172,Enabled,1,1,No
REFDE00180,Enabled,1,1,No
REFDE00182,Enabled,1,1,No
REFDE00251,Enabled,2,1,No
REFDE00253,Enabled,3,1,No
REFDE00265,Enabled,1,1,No
REFDE00272,Enabled,1,1,No
REFDE00285,Enabled,2,1,No
REFDE00306,Enabled,1,1,No
REFDE00308,Enabled,6,1,No
REFDE00320,Enabled,1,1,No
REFDE00323,Enabled,1,1,No
REFDE00348,Enabled,1,1,No
REFDE00353,Enabled,1,1,No
REFDE00355,Enabled,1,1,No
REFDE00365,Enabled,1,1,No
REFDE00369,Enabled,4,1,No
REFDE00370,Enabled,3,1,No
REFDE00371,Enabled,1,1,No
REFDE00372,Enabled,2,1,No
REFDE00376,Enabled,1,1,No
REFDE00377,Enabled,2,1,No
REFDE00378,Enabled,1,1,No
REFDE00379,Enabled,1,1,No
REFDE00381,Enabled,1,1,No
REFDE00383,Enabled,1,1,No
REFDE00384,Enabled,2,1,No
REFDE00385,Enabled,1,1,No
REFDE00386,Enabled,1,1,No
REFDE00387,Enabled,1,1,No
REFDE00390,Enabled,1,1,No
REFDE00034,Enabled,1,1,No
REFDE00101,Enabled,2,1,No
REFDE00103,Enabled,1,1,No
REFDE00257,Enabled,1,1,No
REFDE00058,Enabled,1,1,No
REFDE00080,Enabled,7,1,No
REFDE00081,Enabled,6,1,No
REFDE00084,Enabled,2,1,No
REFDE00162,Enabled,1,1,No
REFDE00177,Enabled,3,1,No
REFDE00202,Enabled,2,1,No
REFDE00249,Enabled,6,1,No
REFDE00270,Enabled,4,1,No
REFDE00343,Enabled,4,1,No
REFDE00109,Enabled,3,1,No
REFDE00113,Enabled,2,1,No
REFDE00127,Enabled,2,1,No
REFDE00145,Enabled,2,1,No
REFDE00228,Enabled,2,1,No
REFDE00310,Enabled,3,1,No
REFDE00335,Enabled,2,1,No
REFDE00098,Enabled,3,1,No
