sku,status
REFDE00007,Disabled
REFDE00012,Disabled
REFDE00019,Disabled
REFDE00028,Disabled
REFDE00034,Disabled
REFDE00036,Disabled
REFDE00041,Disabled
REFDE00043,Disabled
REFDE00053,Disabled
REFDE00054,Disabled
REFDE00056,Disabled
REFDE00075,Disabled
REFDE00079,Disabled
REFDE00090,Disabled
REFDE00091,Disabled
REFDE00100,Disabled
REFDE00101,Disabled
REFDE00103,Disabled
REFDE00109,Disabled
REFDE00111,Disabled
REFDE00113,Disabled
REFDE00114,Disabled
REFDE00117,Disabled
REFDE00121,Disabled
REFDE00126,Disabled
REFDE00127,Disabled
REFDE00128,Disabled
REFDE00129,Disabled
REFDE00137,Disabled
REFDE00145,Disabled
REFDE00146,Disabled
REFDE00157,Disabled
REFDE00159,Disabled
REFDE00193,Disabled
REFDE00194,Disabled
REFDE00196,Disabled
REFDE00197,Disabled
REFDE00198,Disabled
REFDE00200,Disabled
REFDE00206,Disabled
REFDE00207,Disabled
REFDE00218,Disabled
REFDE00224,Disabled
REFDE00228,Disabled
REFDE00236,Disabled
REFDE00238,Disabled
REFDE00250,Disabled
REFDE00254,Disabled
REFDE00257,Disabled
REFDE00262,Disabled
REFDE00263,Disabled
REFDE00267,Disabled
REFDE00277,Disabled
REFDE00289,Disabled
REFDE00301,Disabled
REFDE00302,Disabled
REFDE00303,Disabled
REFDE00310,Disabled
REFDE00312,Disabled
REFDE00335,Disabled
REFDE00340,Disabled
REFDE00015,Disabled
REFDE00026,Disabled
REFDE00058,Disabled
REFDE00059,Disabled
REFDE00065,Disabled
REFDE00069,Disabled
REFDE00080,Disabled
REFDE00081,Disabled
REFDE00084,Disabled
REFDE00098,Disabled
REFDE00110,Disabled
REFDE00120,Disabled
REFDE00130,Disabled
REFDE00131,Disabled
REFDE00135,Disabled
REFDE00136,Disabled
REFDE00144,Disabled
REFDE00162,Disabled
REFDE00167,Disabled
REFDE00172,Disabled
REFDE00177,Disabled
REFDE00180,Disabled
REFDE00182,Disabled
REFDE00202,Disabled
REFDE00249,Disabled
REFDE00251,Disabled
REFDE00253,Disabled
REFDE00265,Disabled
REFDE00270,Disabled
REFDE00272,Disabled
REFDE00285,Disabled
REFDE00306,Disabled
REFDE00308,Disabled
REFDE00320,Disabled
REFDE00323,Disabled
REFDE00343,Disabled
REFDE00348,Disabled
REFDE00353,Disabled
REFDE00355,Disabled
REFDE00356,Disabled
REFDE00357,Disabled
REFDE00358,Disabled
REFDE00359,Disabled
REFDE00361,Disabled
REFDE00362,Disabled
REFDE00365,Disabled
REFDE00369,Disabled
REFDE00370,Disabled
REFDE00371,Disabled
REFDE00372,Disabled
REFDE00376,Disabled
REFDE00377,Disabled
REFDE00378,Disabled
REFDE00379,Disabled
REFDE00381,Disabled
REFDE00383,Disabled
REFDE00384,Disabled
REFDE00385,Disabled
REFDE00386,Disabled
REFDE00387,Disabled
REFDE00390,Disabled
