sku,status,is_in_stock
REFDE00136,Enabled,1
REFDE00162,Enabled,1
REFDE00167,Enabled,1
REFDE00172,Enabled,1
REFDE00180,Enabled,1
REFDE00202,Enabled,1
REFDE00265,Enabled,1
REFDE00320,Enabled,1
REFDE00357,Enabled,1
REFDE00371,Enabled,1
REFDE00381,Enabled,1
REFDE00383,Enabled,1
REFDE00386,Enabled,1
REFDE00387,Enabled,1
REFDE00390,Enabled,1
REFDE00036,Enabled,1
REFDE00056,Enabled,1
REFDE00090,Enabled,1
REFDE00100,Enabled,1
REFDE00113,Enabled,1
REFDE00257,Enabled,1
REFDE00137,Enabled,1
REFDE00146,Enabled,1
REFDE00159,Enabled,1
REFDE00193,Enabled,1
REFDE00194,Enabled,1
REFDE00196,Enabled,1
REFDE00197,Enabled,1
REFDE00198,Enabled,1
REFDE00200,Enabled,1
REFDE00206,Enabled,1
REFDE00207,Enabled,1
REFDE00218,Enabled,1
REFDE00224,Enabled,1
REFDE00263,Enabled,1
REFDE00238,Enabled,1
REFDE00277,Enabled,1
REFDE00254,Enabled,1
REFDE00289,Enabled,1
REFDE00312,Enabled,1
REFDE00303,Enabled,1
REFDE00340,Enabled,1
REFDE00026,Enabled,1
REFDE00069,Enabled,1
REFDE00323,Enabled,1
REFDE00353,Enabled,1
REFDE00355,Enabled,1
REFDE00356,Enabled,1
REFDE00359,Enabled,1
REFDE00361,Enabled,1
REFDE00362,Enabled,1
REFDE00365,Enabled,1
REFDE00308,Enabled,1
REFDE00081,Enabled,1
REFDE00110,Enabled,1
REFDE00127,Enabled,1
REFDE00144,Enabled,1
REFDE00335,Enabled,1
REFDE00117,Enabled,1
REFDE00262,Enabled,1
REFDE00129,Enabled,1
REFDE00065,Enabled,1
REFDE00098,Enabled,1
REFDE00120,Enabled,1
REFDE00251,Enabled,1
REFDE00372,Enabled,1
REFDE00054,Enabled,1
REFDE00019,Enabled,1
REFDE00128,Enabled,1
REFDE00103,Enabled,1
REFDE00109,Enabled,1
REFDE00111,Enabled,1
REFDE00126,Enabled,1
REFDE00145,Enabled,1
REFDE00079,Enabled,1
REFDE00028,Enabled,1
REFDE00034,Enabled,1
REFDE00043,Enabled,1
REFDE00302,Enabled,1
REFDE00091,Enabled,1
REFDE00101,Enabled,1
REFDE00310,Enabled,1
REFDE00157,Enabled,1
REFDE00228,Enabled,1
REFDE00075,Enabled,1
REFDE00053,Enabled,1
REFDE00301,Enabled,1
REFDE00015,Enabled,1
REFDE00058,Enabled,1
REFDE00084,Enabled,1
REFDE00130,Enabled,1
REFDE00131,Enabled,1
REFDE00135,Enabled,1
