sku,status,is_in_stock
REFDE00182,Enabled,1
REFDE00272,Enabled,1
REFDE00306,Enabled,1
REFDE00376,Enabled,1
REFDE00378,Enabled,1
REFDE00379,Enabled,1
REFDE00385,Enabled,1
REFDE00007,Enabled,1
REFDE00267,Enabled,1
REFDE00348,Enabled,1
REFDE00059,Enabled,1
REFDE00080,Enabled,1
REFDE00249,Enabled,1
REFDE00270,Enabled,1
REFDE00343,Enabled,1
REFDE00369,Enabled,1
REFDE00177,Enabled,1
REFDE00253,Enabled,1
REFDE00370,Enabled,1
REFDE00121,Enabled,1
REFDE00250,Enabled,1
REFDE00285,Enabled,1
REFDE00377,Enabled,1
REFDE00384,Enabled,1
REFDE00012,Enabled,1
REFDE00236,Enabled,1
REFDE00114,Enabled,1
REFDE00041,Enabled,1
REFDE00358,Enabled,1
