sku,status,qty,is_in_stock
QCDTAG00052,Enabled,25,1
QCDTAG00053,Enabled,14,1
QCDTAG00054,Enabled,3,1
QCDTAG00055,Enabled,1,1
QCDTAG00057,Enabled,2,1
QCDTAG00058,Enabled,12,1
QCDTAG00059,Enabled,1,1
QCDTAG00060,Enabled,1,1
QCDTAG00061,Enabled,1,1
QCDTAG00062,Enabled,9,1
QCDTAG00063,Enabled,13,1
QCDTAG00064,Enabled,1,1
QCDTAG00065,Enabled,1,1
QCDTAG00066,Enabled,5,1
QCDTAG00067,Enabled,1,1
QCDTAG00068,Enabled,2,1
QCDTAG00082,Enabled,2,1
QCDTAG00083,Enabled,1,1
QCDTAG00084,Enabled,1,1
QCDTAG00085,Enabled,4,1
QCDTAG00086,Enabled,4,1
QCDTAG00088,Enabled,1,1
QCDTAG00089,Enabled,1,1
QCDTAG00090,Enabled,1,1
