sku,visibility
QCNBB002322,"Catalog, Search"
QCNBB002326,"Catalog, Search"
QCNBB002327,"Catalog, Search"
QCNBB002329,"Catalog, Search"
QCNBBG00213,"Catalog, Search"
QCNBBG00219,"Catalog, Search"
QCNBBG00220,"Catalog, Search"
QCNBBG00221,"Catalog, Search"
QCNBBG00225,"Catalog, Search"
QCNBBG00227,"Catalog, Search"
QCNBBG00231,"Catalog, Search"
QCNBBG00233,"Catalog, Search"
QCNBBG00239,"Catalog, Search"
QCNBBG00242,"Catalog, Search"
QCNBBG00244,"Catalog, Search"
QCNBBG00252,"Catalog, Search"
QCNBBG00270,"Catalog, Search"
QCNBBG00276,"Catalog, Search"
QCNBBG00280,"Catalog, Search"
QCNBBG00282,"Catalog, Search"
QCNBB002320,"Catalog, Search"
QCNBB002318,"Catalog, Search"
QCNBB002314,"Catalog, Search"
QCNBB002312,"Catalog, Search"
