sku,visibility
QCNBBG00001,"Catalog, Search"
QCNBBG00004,"Catalog, Search"
QCNBBG00005,"Catalog, Search"
QCNBBG00006,"Catalog, Search"
QCNBBG00007,"Catalog, Search"
QCNBBG00008,"Catalog, Search"
QCNBBG00009,"Catalog, Search"
QCNBBG00010,"Catalog, Search"
QCNBBG00011,"Catalog, Search"
QCNBBG00012,"Catalog, Search"
QCNBBG00013,"Catalog, Search"
QCNBBG00014,"Catalog, Search"
QCNBBG00015,"Catalog, Search"
QCNBBG00016,"Catalog, Search"
QCNBBG00022,"Catalog, Search"
QCNBBG00023,"Catalog, Search"
QCNBBG00026,"Catalog, Search"
QCNBBG00027,"Catalog, Search"
QCNBBG00028,"Catalog, Search"
QCNBBG00029,"Catalog, Search"
QCNBBG00030,"Catalog, Search"
QCNBBG00032,"Catalog, Search"
QCNBBG00033,"Catalog, Search"
QCNBBG00034,"Catalog, Search"
QCNBBG00035,"Catalog, Search"
QCNBBG00038,"Catalog, Search"
QCNBBG00042,"Catalog, Search"
QCNBBG00043,"Catalog, Search"
QCNBBG00044,"Catalog, Search"
QCNBBG00045,"Catalog, Search"
QCNBBG00046,"Catalog, Search"
QCNBBG00049,"Catalog, Search"
QCNBBG00050,"Catalog, Search"
QCNBBG00051,"Catalog, Search"
QCNBBG00052,"Catalog, Search"
QCNBBG00054,"Catalog, Search"
QCNBBG00055,"Catalog, Search"
QCNBBG00056,"Catalog, Search"
QCNBBG00057,"Catalog, Search"
QCNBBG00060,"Catalog, Search"
QCNBBG00061,"Catalog, Search"
QCNBBG00063,"Catalog, Search"
QCNBBG00065,"Catalog, Search"
QCNBBG00064,"Catalog, Search"
QCNBBG00067,"Catalog, Search"
QCNBBG00068,"Catalog, Search"
QCNBBG00070,"Catalog, Search"
QCNBBG00073,"Catalog, Search"
QCNBBG00077,"Catalog, Search"
QCNBBG00078,"Catalog, Search"
QCNBBG00079,"Catalog, Search"
QCNBBG00076,"Catalog, Search"
QCNBBG00072,"Catalog, Search"
QCNBBG00075,"Catalog, Search"
QCNBBG00080,"Catalog, Search"
QCNBBG00081,"Catalog, Search"
QCNBBG00083,"Catalog, Search"
QCNBBG00084,"Catalog, Search"
QCNBBG00085,"Catalog, Search"
QCNBBG00087,"Catalog, Search"
QCNBBG00088,"Catalog, Search"
QCNBBG00089,"Catalog, Search"
QCNBBG00090,"Catalog, Search"
QCNBBG00091,"Catalog, Search"
QCNBBG00092,"Catalog, Search"
QCNBBG00096,"Catalog, Search"
QCNBBG00097,"Catalog, Search"
QCNBBG00098,"Catalog, Search"
QCNBBG00099,"Catalog, Search"
QCNBBG00101,"Catalog, Search"
QCNBBG00102,"Catalog, Search"
QCNBBG00103,"Catalog, Search"
QCNBBG00104,"Catalog, Search"
QCNBBG00105,"Catalog, Search"
QCNBBG00106,"Catalog, Search"
QCNBBG00107,"Catalog, Search"
QCNBBG00109,"Catalog, Search"
QCNBBG00110,"Catalog, Search"
QCNBBG00111,"Catalog, Search"
QCNBBG00112,"Catalog, Search"
QCNBBG00113,"Catalog, Search"
QCNBBG00114,"Catalog, Search"
QCNBBG00115,"Catalog, Search"
QCNBBG00116,"Catalog, Search"
QCNBBG00117,"Catalog, Search"
QCNBBG00118,"Catalog, Search"
QCNBBG00119,"Catalog, Search"
QCNBBG00120,"Catalog, Search"
QCNBBG00121,"Catalog, Search"
QCNBBG00122,"Catalog, Search"
QCNBBG00123,"Catalog, Search"
QCNBBG00124,"Catalog, Search"
QCNBBG00125,"Catalog, Search"
QCNBBG00126,"Catalog, Search"
QCNBBG00127,"Catalog, Search"
QCNBBG00128,"Catalog, Search"
QCNBBG00129,"Catalog, Search"
QCNBBG00130,"Catalog, Search"
QCNBBG00131,"Catalog, Search"
QCNBBG00132,"Catalog, Search"
QCNBBG00133,"Catalog, Search"
QCNBBG00134,"Catalog, Search"
QCNBBG00135,"Catalog, Search"
QCNBBG00136,"Catalog, Search"
QCNBBG00137,"Catalog, Search"
QCNBBG00138,"Catalog, Search"
QCNBBG00139,"Catalog, Search"
QCNBBG00140,"Catalog, Search"
QCNBBG00141,"Catalog, Search"
QCNBBG00142,"Catalog, Search"
QCNBBG00143,"Catalog, Search"
QCNBBG00144,"Catalog, Search"
QCNBBG00145,"Catalog, Search"
QCNBBG00146,"Catalog, Search"
QCNBBG00147,"Catalog, Search"
QCNBBG00148,"Catalog, Search"
QCNBBG00149,"Catalog, Search"
