sku,is_in_stock,disable_cod,weight
QCNBB002315,1,No,2.5
QCNBB002316,1,No,2.5
QCNBB002317,1,No,2.5
QCNBB002319,1,No,2.5
QCNBBG00031,1,No,2.5
QCNBBG00041,1,No,2.5
QCNBBG00048,1,No,2.5
QCNBBG00058,1,No,2.5
QCNBBG00185,1,No,2.5
QCNBBG00186,1,No,2.5
QCNBBG00188,1,No,2.5
QCNBBG00196,1,No,2.5
QCNBBG00198,1,No,2.5
QCNBBG00201,1,No,2.5
QCNBBG00203,1,No,2.5
QCNBBG00206,1,No,2.5
QCNBBG00207,1,No,2.5
QCNBBG00209,1,No,2.5
REFDE00015,1,No,2.5
REFDE00026,1,No,2.5
REFDE00098,1,No,2.5
REFDE00120,1,No,2.5
REFDE00289,1,No,2.5
REFDE00323,1,No,2.5
REFDE00353,1,No,2.5
REFDE00381,1,No,2.5
