sku,status,qty,is_in_stock
REFDE00007,Enabled,4,1
REFDE00019,Enabled,1,1
REFDE00052,Enabled,1,1
REFDE00086,Enabled,1,1
REFDE00091,Enabled,1,1
REFDE00098,Enabled,1,1
REFDE00100,Enabled,1,1
REFDE00108,Enabled,2,1
REFDE00109,Enabled,1,1
REFDE00111,Enabled,2,1
REFDE00113,Enabled,1,1
REFDE00117,Enabled,4,1
REFDE00121,Enabled,4,1
REFDE00126,Enabled,2,1
REFDE00137,Enabled,1,1
REFDE00161,Enabled,5,1
REFDE00197,Enabled,1,1
REFDE00198,Enabled,1,1
REFDE00202,Enabled,2,1
REFDE00204,Enabled,1,1
REFDE00210,Enabled,1,1
REFDE00225,Enabled,1,1
REFDE00228,Enabled,2,1
REFDE00289,Enabled,1,1
REFDE00302,Enabled,2,1
REFDE00310,Enabled,3,1
REFDE00323,Enabled,1,1
REFDE00335,Enabled,2,1
REFDE00381,Enabled,1,1
REFDE00145,Enabled,1,1
REFDE00146,Enabled,1,1
REFDE00194,Enabled,3,1
REFDE00262,Enabled,3,1
REFDE00312,Enabled,2,1
REFDE00313,Enabled,1,1
REFDE00340,Enabled,1,1
REFDE00390,Enabled,1,1
REFDE00157,Enabled,2,1
REFDE00196,Enabled,1,1
REFDE00263,Enabled,1,1
REFDE00277,Enabled,2,1
REFDE00320,Enabled,1,1
REFDE00355,Enabled,1,1
