sku,tax_class_id
QCNBB002334,GST18
QCNBB002335,GST18
QCNBB002336,GST18
QCNBB002337,GST18
QCNBB002338,GST18
QCNBB002339,GST18
QCNBB002340,GST18
QCNBB002341,GST18
QCNBB002342,GST18
QCNBB002343,GST18
QCNBB002344,GST18
QCNBB002345,GST18
QCNBB002346,GST18
QCNBB002347,GST18
QCNBB002348,GST18
QCNBB002349,GST18
QCNBB002350,GST18
QCNBB002351,GST18
QCNBB002352,GST18
QCNBB002353,GST18
QCNBB002354,GST18
QCNBB002355,GST18
QCNBB002356,GST18
QCNBB002357,GST18
QCNBB002358,GST18
QCNBB002359,GST18
QCNBB002360,GST18
QCNBB002361,GST18
QCNBB002362,GST18
QCNBB002363,GST18
QCNBB002364,GST18
QCNBB002365,GST18
QCNBB002366,GST18
QCNBB002367,GST18
QCNBB002368,GST18
QCNBB002369,GST18
QCNBB002370,GST18
QCNBB002371,GST18
QCNBB002372,GST18
QCNBB002373,GST18
QCNBB002374,GST18
QCNBB002375,GST18
QCNBB002376,GST18
QCNBB002377,GST18
QCNBB002378,GST18
QCNBB002379,GST18
QCNBB002380,GST18
QCNBB002381,GST18
QCNBB002382,GST18
QCNBB002383,GST18
QCNBB002384,GST18
QCNBB002385,GST18
QCNBB002386,GST18
QCNBB002387,GST18
QCNBB002388,GST18
QCNBB002389,GST18
QCNBB002390,GST18
QCNBB002391,GST18
QCNBB002392,GST18
QCNBB002393,GST18
QCNBB002394,GST18
QCNBB002395,GST18
QCNBB002396,GST18
QCNBB002397,GST18
QCNBB002398,GST18
QCNBB002399,GST18
QCNBB002400,GST18
QCNBB002401,GST18
QCNBB002402,GST18
QCNBB002403,GST18
QCNBB002404,GST18
QCNBB002405,GST18
QCNBB002406,GST18
QCNBB002407,GST18
QCNBB002408,GST18
QCNBB002409,GST18
