sku,status,qty,is_in_stock
QCNBB002334,Enabled,1,1
QCNBBG00366,Enabled,1,1
QCNBBG00361,Enabled,1,1
QCNBBG00367,Enabled,1,1
QCNBBG00359,Enabled,1,1
QCNBB002369,Enabled,1,1
QCNBBG00485,Enabled,1,1
QCNBBG00393,Enabled,1,1
QCNBBG00398,Enabled,1,1
QCNBBG00399,Enabled,1,1
QCNBBG00401,Enabled,1,1
QCNBBG00329,Enabled,2,1
QCNBBG00402,Enabled,1,1
QCNBBG00405,Enabled,1,1
QCNBB002361,Enabled,1,1
QCNBB002356,Enabled,1,1
QCNBBG00407,Enabled,1,1
QCNBBG00413,Enabled,1,1
QCNBBG00414,Enabled,1,1
QCNBBG00272,Enabled,1,1
QCNBBG00420,Enabled,1,1
QCNBBG00226,Enabled,26,1
QCNBBG00426,Enabled,1,1
QCNBBG00429,Enabled,1,1
QCNBBG00335,Enabled,3,1
QCNBB002371,Enabled,1,1
QCNBB002370,Enabled,1,1
QCNBBG00431,Enabled,1,1
QCNBBG00435,Enabled,2,1
QCNBBG00233,Enabled,5,1
QCNBBG00275,Enabled,1,1
QCNBBG00432,Enabled,1,1
QCNBBG00436,Enabled,1,1
QCNBBG00227,Enabled,1,1
QCNBBG00276,Enabled,1,1
QCNBBG00085,Enabled,1,1
QCNBBG00438,Enabled,1,1
QCNBBG00234,Enabled,25,1
QCNBBG00297,Enabled,4,1
QCNBBG00237,Enabled,3,1
QCNBBG00242,Enabled,5,1
QCNBBG00317,Enabled,1,1
QCNBBG00443,Enabled,1,1
QCNBBG00247,Enabled,32,1
QCNBBG00248,Enabled,12,1
QCNBBG00250,Enabled,1,1
QCNBBG00487,Enabled,1,1
QCNBBG00488,Enabled,1,1
QCNBB002400,Enabled,1,1
QCNBB002401,Enabled,1,1
QCNBB002367,Enabled,1,1
QCNBBG00462,Enabled,1,1
QCNBBG00463,Enabled,1,1
QCNBBG00465,Enabled,1,1
QCNBBG00466,Enabled,1,1
QCNBBG00467,Enabled,1,1
QCNBBG00368,Enabled,1,1
QCNBAG00710,Enabled,1,1
QCNBBG00371,Enabled,1,1
QCNBBG00216,Enabled,6,1
QCNBBG00372,Enabled,1,1
QCNBAG00711,Enabled,1,1
QCNBBG00217,Enabled,16,1
QCNBBG00269,Enabled,2,1
QCNBBG00374,Enabled,2,1
QCNBBG00373,Enabled,1,1
QCNBBG00316,Enabled,3,1
QCNBBG00375,Enabled,2,1
QCNBBG00378,Enabled,1,1
QCNBBG00377,Enabled,2,1
QCNBBG00382,Enabled,1,1
QCNBBG00388,Enabled,1,1
QCNBB002376,Enabled,1,1
QCNBBG00449,Enabled,1,1
QCNBBG00450,Enabled,11,1
QCNBBG00453,Enabled,1,1
QCNBBG00454,Enabled,1,1
QCNBB002380,Enabled,1,1
QCNBB002365,Enabled,1,1
QCNBB002366,Enabled,1,1
QCNBB002383,Enabled,1,1
QCNBB002384,Enabled,1,1
QCNBBG00455,Enabled,1,1
QCNBBG00459,Enabled,1,1
QCNBB002388,Enabled,1,1
QCNBBG00473,Enabled,2,1
QCNBBG00341,Enabled,1,1
QCNBBG00476,Enabled,1,1
QCNBBG00475,Enabled,2,1
QCNBBG00478,Enabled,1,1
QCNBAG00713,Enabled,8,1
QCNBBG00066,Enabled,17,1
QCNBAG00708,Enabled,3,1
QCNBBG00082,Enabled,12,1
QCNBBG00109,Enabled,1,1
QCNBB002338,Enabled,1,1
QCNBBG00384,Enabled,1,1
QCNBBG00385,Enabled,1,1
QCNBB002342,Enabled,1,1
QCNBBG00386,Enabled,1,1
QCNBBG00389,Enabled,1,1
QCNBBG00390,Enabled,1,1
QCNBBG00391,Enabled,1,1
QCNBB002394,Enabled,1,1
QCNBBG00503,Enabled,1,1
QCNBBG00313,Enabled,3,1
QCNBBG00256,Enabled,5,1
QCNBBG00512,Enabled,1,1
QCNBBG00507,Enabled,1,1
QCNBBG00312,Enabled,4,1
QCNBBG00255,Enabled,22,1
QCNBBG00343,Enabled,2,1
QCNBB002328,Enabled,6,1
QCNBBG00499,Enabled,1,1
QCNBBG00498,Enabled,1,1
QCNBBG00260,Enabled,1,1
QCNBBG00299,Enabled,1,1
QCNBBG00514,Enabled,1,1
QCNBBG00421,Enabled,1,1
QCNBBG00262,Enabled,2,1
QCNBBG00422,Enabled,1,1
QCNBBG00425,Enabled,1,1
QCNBBG00282,Enabled,3,1
QCNBBG00352,Enabled,1,1
QCNBBG00353,Enabled,1,1
QCNBBG00283,Enabled,5,1
QCNBBG00423,Enabled,1,1
QCNBB002395,Enabled,1,1
QCNBBG00265,Enabled,15,1
QCNBBG00345,Enabled,2,1
QCNBBG00516,Enabled,2,1
QCNBBG00517,Enabled,1,1
QCNBBG00264,Enabled,2,1
QCNBBG00062,Enabled,3,1
QCNBBG00349,Enabled,2,1
QCNBBG00339,Enabled,1,1
QCNBBG00502,Enabled,1,1
QCNBBG00321,Enabled,1,1
QCNBBG00292,Enabled,2,1
QCNBBG00523,Enabled,1,1
