sku,status
OPMBNTFB0025,1
OPMBNTF0609,1
OPMBNTFB0599,1
OPMBNTFB0020,1
OPMBNTF0183,1
OPMBNTF0021,1
OPMBNTF0097,1
OPMBNTFB0677,1
OPMBNTFB0648,1
OPMBNTFB0040,1
OPMBNTFB0030,1
OPMBNTFB0013,1
OPMBNTFB0647,1
OPMBNTF0020,1
OPMBNTF0107,1
OPMBNTFB0807,1
OPMBNTFB0029,1
OPMBNTF0647,1
OPMBNTF0037,1
OPMBNTF0138,1
OPMBNTF0058,1
OPMBNTFB0554,1
OPMBNTF0069,1
OPMBNTFB0017,1
OPMBNTF0053,1
OPMBNTF0268,1
OPMBNTF0553,1
OPMBNTFB0467,1
OPMBNTF0236,1
OPMBNTFB0028,1
OPMBNTF0026,1
OPMBNTF0463,1
OPMBNTF0587,1
OPMBNTFB0046,1
OPMBNTFB0115,1
OPMBNTF0599,1
OPMBNTF0066,1
OPMBNTF0103,1
OPMBNTF0151,1
OPMBNTF0368,1
OPMBNTF0598,1
OPMBNTF0725,1
OPMBNTFB0011,1
OPMBNTFB0061,1
OPMBNTFB0091,1
OPMBNTFB0556,1
OPMBNTFB0564,1
OPMBNTFB0601,1
OPMBNTF0603,1
OPMBNTFB0015,1
OPMBNTF0042,1
OPMBNTFB0551,1
OPMBNTF0040,1
OPMBNTF0052,1
OPMBNTF0063,1
OPMBNTF0088,1
OPMBNTF0130,1
OPMBNTF0152,1
OPMBNTF0159,1
OPMBNTF0202,1
OPMBNTF0555,1
OPMBNTF0650,1
OPMBNTF0676,1
OPMBNTFB0039,1
OPMBNTFB0064,1
OPMBNTFB0126,1
OPMBNTFB0151,1
OPMBNTFB0471,1
OPMBNTFB0511,1
OPMBNTFB0465,1
OPMBNTF0711,1
OPMBNTFB0053,1
OPMBNTFB0012,1
OPMBNTFB0041,1
OPMBNTF0003,1
OPMBNTFB0003,1
OPMBNTF0023,1
OPMBNTFB0065,1
OPMBNTFB0661,1
OPMBNTF0004,1
OPMBNTF0027,1
OPMBNTF0034,1
OPMBNTF0068,1
OPMBNTF0081,1
OPMBNTF0113,1
OPMBNTF0201,1
OPMBNTF0218,1
OPMBNTF0265,1
OPMBNTF0315,1
OPMBNTF0436,1
OPMBNTF0504,1
OPMBNTF0511,1
OPMBNTF0556,1
OPMBNTF0619,1
OPMBNTF0654,1
OPMBNTF0678,1
OPMBNTF0724,1
OPMBNTF0727,1
OPMBNTFB0055,1
OPMBNTFB0066,1
OPMBNTFB0078,1
OPMBNTFB0144,1
OPMBNTFB0154,1
OPMBNTFB0183,1
OPMBNTFB0274,1
OPMBNTFB0504,1
OPMBNTFB0602,1
OPMBNTFB0606,1
OPMBNTFB0630,1
OPMBNTFB0645,1
OPMBNTFB0652,1
OPMBNTFB0690,1
OPMBNTFB0769,1
OPMBNTFB0775,1
OPMBNTF0185,1
OPMBNTF0641,1
OPMBNTF0667,1
OPMBNTFB0325,1
OPMBNTFB0038,1
OPMBNTF0648,1
OPMBNTF0044,1
OPMBNTF0238,1
OPMBNTFB0023,1
OPMBNTFB0107,1
OPMBNTFB0641,1
OPMBNTF0018,1
OPMBNTF0067,1
OPMBNTFB0228,1
OPMBNTFB0699,1
OPMBNTF0001,1
OPMBNTF0005,1
OPMBNTF0006,1
OPMBNTF0008,1
OPMBNTF0009,1
OPMBNTF0010,1
OPMBNTF0011,1
OPMBNTF0022,1
OPMBNTF0032,1
OPMBNTF0041,1
OPMBNTF0048,1
OPMBNTF0056,1
OPMBNTF0059,1
OPMBNTF0073,1
OPMBNTF0075,1
OPMBNTF0077,1
OPMBNTF0079,1
OPMBNTF0087,1
OPMBNTF0114,1
OPMBNTF0146,1
OPMBNTF0155,1
OPMBNTF0161,1
OPMBNTF0169,1
OPMBNTF0186,1
OPMBNTF0194,1
OPMBNTF0214,1
OPMBNTF0221,1
OPMBNTF0228,1
OPMBNTF0240,1
OPMBNTF0241,1
OPMBNTF0248,1
OPMBNTF0256,1
OPMBNTF0263,1
OPMBNTF0269,1
OPMBNTF0302,1
OPMBNTF0306,1
OPMBNTF0308,1
OPMBNTF0322,1
OPMBNTF0325,1
OPMBNTF0328,1
OPMBNTF0352,1
OPMBNTF0379,1
OPMBNTF0433,1
OPMBNTF0443,1
OPMBNTF0451,1
OPMBNTF0465,1
OPMBNTF0466,1
OPMBNTF0472,1
OPMBNTF0478,1
OPMBNTF0495,1
OPMBNTF0503,1
OPMBNTF0512,1
OPMBNTF0552,1
OPMBNTF0557,1
OPMBNTF0565,1
OPMBNTF0571,1
OPMBNTF0578,1
OPMBNTF0583,1
OPMBNTF0586,1
OPMBNTF0608,1
OPMBNTF0617,1
OPMBNTF0618,1
OPMBNTF0622,1
OPMBNTF0629,1
OPMBNTF0635,1
OPMBNTF0636,1
OPMBNTF0651,1
OPMBNTF0652,1
OPMBNTF0663,1
OPMBNTF0669,1
OPMBNTF0671,1
OPMBNTF0682,1
OPMBNTF0703,1
OPMBNTF0750,1
OPMBNTF0753,1
OPMBNTF0795,1
OPMBNTFB0027,1
OPMBNTFB0034,1
OPMBNTFB0042,1
OPMBNTFB0047,1
OPMBNTFB0049,1
OPMBNTFB0056,1
OPMBNTFB0062,1
OPMBNTFB0073,1
OPMBNTFB0077,1
OPMBNTFB0079,1
OPMBNTFB0084,1
OPMBNTFB0086,1
OPMBNTFB0094,1
OPMBNTFB0099,1
OPMBNTFB0103,1
OPMBNTFB0117,1
OPMBNTFB0119,1
OPMBNTFB0128,1
OPMBNTFB0133,1
OPMBNTFB0141,1
OPMBNTFB0142,1
OPMBNTFB0178,1
OPMBNTFB0181,1
OPMBNTFB0200,1
OPMBNTFB0220,1
OPMBNTFB0232,1
OPMBNTFB0234,1
OPMBNTFB0245,1
OPMBNTFB0294,1
OPMBNTFB0297,1
OPMBNTFB0299,1
OPMBNTFB0304,1
OPMBNTFB0308,1
OPMBNTFB0333,1
OPMBNTFB0363,1
OPMBNTFB0417,1
OPMBNTFB0431,1
OPMBNTFB0448,1
OPMBNTFB0457,1
OPMBNTFB0521,1
OPMBNTFB0524,1
OPMBNTFB0538,1
OPMBNTFB0540,1
OPMBNTFB0541,1
OPMBNTFB0547,1
OPMBNTFB0557,1
OPMBNTFB0565,1
OPMBNTFB0567,1
OPMBNTFB0569,1
OPMBNTFB0571,1
OPMBNTFB0574,1
OPMBNTFB0591,1
OPMBNTFB0604,1
OPMBNTFB0605,1
OPMBNTFB0662,1
OPMBNTFB0669,1
OPMBNTFB0704,1
OPMBNTFB0733,1
OPMBNTFB0752,1
OPMBNTFB0764,1
OPMBNTFB0777,1
OPMBNTFB0781,1
OPMBNTFB0784,1
OPMBNTFB0791,1
OPMBNTFB0792,1
OPMBNTFB0794,1
OPMBNTFB0812,1
OPMBNTF0494,1
OPMBNTFB0018,1
OPMBNTF0028,1
OPMBNTFB0026,1
OPMBNTFB0004,1
OPMBNTFB0031,1
OPMBNTFB0555,1
OPMBNTFB0643,1
OPMBNTFB0436,1
OPMBNTF0462,1
OPMBNTF0632,1
OPMBNTF0131,1
QCMBB000095,1
QCMBB000197,1
QCMBB000141,1
QCMBB000093,1
QCMBB000078,1
QCMBB000126,1
QCMBB000084,1
QCMBB000165,1
QCMBB000285,1
QCMBB000132,1
QCMBB000245,1
QCMBB000036,1
QCMBB000144,1
QCMBB000202,1
QCMBA000027,1
QCMBB000071,1
QCMBB000111,1
QCMBA000017,1
QCMBB000007,1
QCMBB000098,1
QCMBB000004,1
QCMBB000072,1
QCMBB000192,1
QCMBB000208,1
QCMBB000139,1
QCMBB000288,1
QCMBB000006,1
QCMBB000045,1
QCMBB000158,1
QCMBB000207,1
QCMBB000284,1
QCMBB000049,1
QCMBB000174,1
QCMBA000019,1
QCMBB000002,1
QCMBB000024,1
QCMBB000040,1
QCMBB000064,1
QCMBB000086,1
QCMBB000110,1
QCMBB000115,1
