sku,status
OPMBNTF0001,2
OPMBNTF0002,2
OPMBNTF0003,2
OPMBNTF0004,2
OPMBNTF0005,2
OPMBNTF0007,2
OPMBNTF0008,2
OPMBNTF0009,2
OPMBNTF0011,2
OPMBNTF0016,2
OPMBNTF0017,2
OPMBNTF0018,2
OPMBNTF0019,2
OPMBNTF0020,2
OPMBNTF0021,2
OPMBNTF0022,2
OPMBNTF0023,2
OPMBNTF0024,2
OPMBNTF0025,2
opmbntf0026,2
OPMBNTF0027,2
OPMBNTF0028,2
OPMBNTF0029,2
OPMBNTF0031,2
OPMBNTF0032,2
OPMBNTF0033,2
OPMBNTF0034,2
OPMBNTF0037,2
OPMBNTF0038,2
OPMBNTF0039,2
OPMBNTF0040,2
OPMBNTF0041,2
OPMBNTF0042,2
OPMBNTF0043,2
OPMBNTF0044,2
OPMBNTF0045,2
OPMBNTF0046,2
OPMBNTF0047,2
OPMBNTF0048,2
OPMBNTF0050,2
OPMBNTF0051,2
OPMBNTF0052,2
OPMBNTF0055,2
OPMBNTF0057,2
OPMBNTF0058,2
OPMBNTF0060,2
OPMBNTF0061,2
OPMBNTF0062,2
OPMBNTF0063,2
OPMBNTF0065,2
OPMBNTF0066,2
OPMBNTF0067,2
OPMBNTF0069,2
OPMBNTF0070,2
OPMBNTF0071,2
OPMBNTF0074,2
OPMBNTF0079,2
OPMBNTF0081,2
OPMBNTF0082,2
OPMBNTF0084,2
OPMBNTF0085,2
OPMBNTF0086,2
OPMBNTF0087,2
OPMBNTF0088,2
OPMBNTF0093,2
OPMBNTF0098,2
OPMBNTF0099,2
OPMBNTF0103,2
OPMBNTF0107,2
OPMBNTF0112,2
OPMBNTF0113,2
OPMBNTF0115,2
OPMBNTF0116,2
OPMBNTF0118,2
OPMBNTF0119,2
OPMBNTF0120,2
OPMBNTF0123,2
OPMBNTF0125,2
OPMBNTF0129,2
OPMBNTF0130,2
OPMBNTF0132,2
OPMBNTF0137,2
OPMBNTF0138,2
OPMBNTF0139,2
OPMBNTF0140,2
OPMBNTF0142,2
OPMBNTF0144,2
OPMBNTF0145,2
OPMBNTF0146,2
OPMBNTF0149,2
OPMBNTF0150,2
OPMBNTF0151,2
OPMBNTF0152,2
OPMBNTF0153,2
OPMBNTF0155,2
OPMBNTF0156,2
OPMBNTF0158,2
OPMBNTF0159,2
OPMBNTF0161,2
OPMBNTF0162,2
OPMBNTF0164,2
OPMBNTF0166,2
OPMBNTF0168,2
OPMBNTF0169,2
OPMBNTF0170,2
OPMBNTF0171,2
OPMBNTF0172,2
OPMBNTF0174,2
OPMBNTF0175,2
OPMBNTF0176,2
OPMBNTF0177,2
OPMBNTF0182,2
OPMBNTF0184,2
OPMBNTF0185,2
OPMBNTF0186,2
OPMBNTF0187,2
OPMBNTF0188,2
OPMBNTF0191,2
OPMBNTF0192,2
OPMBNTF0193,2
OPMBNTF0196,2
OPMBNTF0197,2
OPMBNTF0199,2
OPMBNTF0201,2
OPMBNTF0203,2
OPMBNTF0204,2
OPMBNTF0206,2
OPMBNTF0207,2
OPMBNTF0209,2
OPMBNTF0210,2
OPMBNTF0211,2
OPMBNTF0212,2
OPMBNTF0213,2
OPMBNTF0215,2
OPMBNTF0218,2
OPMBNTF0220,2
OPMBNTF0224,2
OPMBNTF0225,2
OPMBNTF0226,2
OPMBNTF0228,2
OPMBNTF0232,2
OPMBNTF0235,2
OPMBNTF0236,2
OPMBNTF0237,2
OPMBNTF0238,2
OPMBNTF0240,2
OPMBNTF0241,2
OPMBNTF0244,2
OPMBNTF0246,2
OPMBNTF0248,2
OPMBNTF0249,2
OPMBNTF0252,2
OPMBNTF0254,2
OPMBNTF0255,2
OPMBNTF0256,2
OPMBNTF0257,2
OPMBNTF0259,2
OPMBNTF0260,2
OPMBNTF0263,2
OPMBNTF0264,2
OPMBNTF0265,2
OPMBNTF0268,2
OPMBNTF0269,2
OPMBNTF0277,2
OPMBNTF0279,2
OPMBNTF0281,2
OPMBNTF0282,2
OPMBNTF0285,2
OPMBNTF0289,2
OPMBNTF0290,2
OPMBNTF0291,2
OPMBNTF0292,2
OPMBNTF0293,2
OPMBNTF0296,2
OPMBNTF0301,2
OPMBNTF0302,2
OPMBNTF0303,2
OPMBNTF0304,2
OPMBNTF0306,2
OPMBNTF0309,2
OPMBNTF0310,2
OPMBNTF0311,2
OPMBNTF0313,2
OPMBNTF0315,2
OPMBNTF0316,2
OPMBNTF0320,2
OPMBNTF0321,2
OPMBNTF0322,2
OPMBNTF0324,2
OPMBNTF0325,2
OPMBNTF0327,2
OPMBNTF0328,2
OPMBNTF0331,2
OPMBNTF0349,2
OPMBNTF0352,2
OPMBNTF0354,2
OPMBNTF0355,2
OPMBNTF0367,2
OPMBNTF0368,2
OPMBNTF0371,2
OPMBNTF0375,2
OPMBNTF0376,2
OPMBNTF0377,2
OPMBNTF0379,2
OPMBNTF0382,2
OPMBNTF0383,2
OPMBNTF0384,2
OPMBNTF0385,2
OPMBNTF0389,2
OPMBNTF0390,2
OPMBNTF0391,2
OPMBNTF0392,2
OPMBNTF0393,2
OPMBNTF0394,2
OPMBNTF0395,2
OPMBNTF0396,2
OPMBNTF0398,2
OPMBNTF0400,2
OPMBNTF0402,2
OPMBNTF0403,2
OPMBNTF0407,2
OPMBNTF0408,2
OPMBNTF0409,2
OPMBNTF0410,2
OPMBNTF0411,2
OPMBNTF0413,2
OPMBNTF0414,2
OPMBNTF0415,2
OPMBNTF0420,2
OPMBNTF0422,2
OPMBNTF0423,2
OPMBNTF0424,2
OPMBNTF0425,2
OPMBNTF0426,2
OPMBNTF0429,2
OPMBNTF0436,2
OPMBNTF0440,2
OPMBNTF0442,2
OPMBNTF0445,2
OPMBNTF0447,2
OPMBNTF0449,2
OPMBNTF0451,2
OPMBNTF0452,2
OPMBNTF0453,2
OPMBNTF0454,2
OPMBNTF0456,2
OPMBNTF0458,2
OPMBNTF0459,2
OPMBNTF0460,2
OPMBNTF0461,2
OPMBNTF0462,2
OPMBNTF0463,2
OPMBNTF0464,2
OPMBNTF0465,2
OPMBNTF0466,2
OPMBNTF0467,2
OPMBNTF0469,2
OPMBNTF0471,2
OPMBNTF0472,2
OPMBNTF0475,2
OPMBNTF0476,2
OPMBNTF0478,2
OPMBNTF0481,2
OPMBNTF0485,2
OPMBNTF0494,2
OPMBNTF0495,2
OPMBNTF0500,2
OPMBNTF0503,2
OPMBNTF0504,2
OPMBNTF0506,2
OPMBNTF0507,2
OPMBNTF0511,2
OPMBNTF0512,2
OPMBNTF0515,2
OPMBNTF0519,2
OPMBNTF0521,2
OPMBNTF0522,2
OPMBNTF0534,2
OPMBNTF0535,2
OPMBNTF0543,2
OPMBNTF0545,2
OPMBNTF0546,2
OPMBNTF0548,2
OPMBNTF0551,2
OPMBNTF0552,2
OPMBNTF0553,2
OPMBNTF0554,2
OPMBNTF0557,2
OPMBNTF0560,2
OPMBNTF0561,2
OPMBNTF0563,2
OPMBNTF0565,2
OPMBNTF0568,2
OPMBNTF0571,2
OPMBNTF0583,2
OPMBNTF0584,2
OPMBNTF0586,2
OPMBNTF0587,2
OPMBNTF0589,2
OPMBNTF0590,2
OPMBNTF0591,2
OPMBNTF0595,2
OPMBNTF0597,2
OPMBNTF0598,2
OPMBNTF0599,2
OPMBNTF0600,2
OPMBNTF0602,2
OPMBNTF0603,2
OPMBNTF0604,2
OPMBNTF0605,2
OPMBNTF0606,2
OPMBNTF0608,2
OPMBNTF0609,2
OPMBNTF0611,2
OPMBNTF0614,2
OPMBNTF0617,2
OPMBNTF0618,2
OPMBNTF0619,2
OPMBNTF0622,2
OPMBNTF0623,2
OPMBNTF0626,2
OPMBNTF0627,2
OPMBNTF0628,2
OPMBNTF0629,2
OPMBNTF0632,2
OPMBNTF0635,2
OPMBNTF0636,2
OPMBNTF0640,2
OPMBNTF0642,2
OPMBNTF0643,2
OPMBNTF0644,2
OPMBNTF0645,2
OPMBNTF0646,2
OPMBNTF0647,2
OPMBNTF0648,2
OPMBNTF0649,2
OPMBNTF0650,2
OPMBNTF0652,2
OPMBNTF0653,2
OPMBNTF0654,2
OPMBNTF0656,2
OPMBNTF0657,2
OPMBNTF0663,2
OPMBNTF0667,2
OPMBNTF0668,2
OPMBNTF0669,2
OPMBNTF0671,2
OPMBNTF0677,2
OPMBNTF0678,2
OPMBNTF0682,2
OPMBNTF0684,2
OPMBNTF0685,2
OPMBNTF0698,2
OPMBNTF0700,2
OPMBNTF0701,2
OPMBNTF0703,2
OPMBNTF0710,2
OPMBNTF0711,2
OPMBNTF0712,2
OPMBNTF0714,2
OPMBNTF0715,2
OPMBNTF0719,2
OPMBNTF0720,2
OPMBNTF0721,2
OPMBNTF0724,2
OPMBNTF0725,2
OPMBNTF0726,2
OPMBNTF0727,2
OPMBNTF0763,2
OPMBNTF0795,2
OPMBNTF0796,2
OPMBNTFB0001,2
OPMBNTFB0002,2
OPMBNTFB0003,2
OPMBNTFB0004,2
OPMBNTFB0005,2
OPMBNTFB0006,2
OPMBNTFB0007,2
OPMBNTFB0008,2
OPMBNTFB0009,2
OPMBNTFB0010,2
OPMBNTFB0011,2
OPMBNTFB0012,2
OPMBNTFB0014,2
OPMBNTFB0015,2
OPMBNTFB0017,2
OPMBNTFB0018,2
OPMBNTFB0019,2
OPMBNTFB0020,2
OPMBNTFB0021,2
OPMBNTFB0022,2
OPMBNTFB0023,2
OPMBNTFB0024,2
OPMBNTFB0025,2
OPMBNTFB0026,2
OPMBNTFB0027,2
OPMBNTFB0028,2
OPMBNTFB0029,2
OPMBNTFB0030,2
OPMBNTFB0031,2
OPMBNTFB0033,2
OPMBNTFB0035,2
OPMBNTFB0036,2
OPMBNTFB0037,2
OPMBNTFB0038,2
OPMBNTFB0039,2
OPMBNTFB0040,2
OPMBNTFB0041,2
OPMBNTFB0042,2
OPMBNTFB0043,2
OPMBNTFB0045,2
OPMBNTFB0046,2
OPMBNTFB0047,2
OPMBNTFB0049,2
OPMBNTFB0053,2
OPMBNTFB0055,2
OPMBNTFB0057,2
OPMBNTFB0058,2
OPMBNTFB0059,2
OPMBNTFB0061,2
OPMBNTFB0062,2
OPMBNTFB0064,2
OPMBNTFB0065,2
OPMBNTFB0066,2
OPMBNTFB0069,2
OPMBNTFB0075,2
OPMBNTFB0077,2
OPMBNTFB0078,2
OPMBNTFB0079,2
OPMBNTFB0080,2
OPMBNTFB0084,2
OPMBNTFB0087,2
OPMBNTFB0093,2
OPMBNTFB0095,2
OPMBNTFB0096,2
OPMBNTFB0098,2
OPMBNTFB0099,2
OPMBNTFB0100,2
